nr,name,height_cm,weight_kg,primary,secondary,stage
1,bulbasaur,70.188065,6.8386292,grass,poison,1
1,bulbasaur,70.01047,6.9153743,grass,poison,1
1,bulbasaur,69.97602,6.874622,grass,poison,1
1,bulbasaur,69.91369,7.013255,grass,poison,1
1,bulbasaur,69.91189,6.847776,grass,poison,1
1,bulbasaur,70.16489,6.8059206,grass,poison,1
1,bulbasaur,69.92256,6.874601,grass,poison,1
1,bulbasaur,70.043205,6.931608,grass,poison,1
1,bulbasaur,69.99175,6.8878446,grass,poison,1
1,bulbasaur,69.93814,6.8083634,grass,poison,1
1,bulbasaur,69.933044,6.8546753,grass,poison,1
1,bulbasaur,69.93296,6.9592786,grass,poison,1
1,bulbasaur,70.011566,6.877408,grass,poison,1
1,bulbasaur,69.96742,6.855876,grass,poison,1
1,bulbasaur,70.01296,7.0137753,grass,poison,1
1,bulbasaur,70.05091,6.9023814,grass,poison,1
1,bulbasaur,69.950874,6.897463,grass,poison,1
1,bulbasaur,69.990486,7.580246,grass,poison,1
1,bulbasaur,70.045204,6.975291,grass,poison,1
1,bulbasaur,69.94807,7.1431875,grass,poison,1
1,bulbasaur,69.949005,6.8442106,grass,poison,1
1,bulbasaur,69.997406,7.1132097,grass,poison,1
1,bulbasaur,70.547325,6.934233,grass,poison,1
1,bulbasaur,69.96806,6.861024,grass,poison,1
1,bulbasaur,69.911865,6.8136563,grass,poison,1
1,bulbasaur,69.91763,7.2190814,grass,poison,1
1,bulbasaur,70.17487,6.8047333,grass,poison,1
1,bulbasaur,69.985435,6.83518,grass,poison,1
1,bulbasaur,70.01001,6.8563447,grass,poison,1
1,bulbasaur,69.90963,6.8789,grass,poison,1
1,bulbasaur,69.95952,6.891321,grass,poison,1
1,bulbasaur,69.90939,6.8827043,grass,poison,1
1,bulbasaur,69.91536,6.923625,grass,poison,1
1,bulbasaur,70.04874,7.260982,grass,poison,1
1,bulbasaur,70.06466,6.888184,grass,poison,1
